url_path,views_total,views_unique
/legorovers/pirover_simulator,12,5
/legorovers/pirover_simulator/issues/33,9,7
/legorovers/pirover_simulator/issues,7,4
/legorovers/pirover_simulator/commit/87e9cf18ebec63fcd217be7ac37c55b5e2810e9c,6,6
/legorovers/pirover_simulator/pull/30,5,5
/legorovers/pirover_simulator/issues/20,5,4
/legorovers/pirover_simulator/pulls,4,3
/legorovers/pirover_simulator/issues/34,3,3
/legorovers/pirover_simulator/blob/github-repo-stats/legorovers/pirover_simulator/latest-report/report.pdf,2,1
/legorovers/pirover_simulator/tree/github-repo-stats/legorovers/pirover_simulator,2,1
