time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-28 00:00:00+00:00,0,0,1,1
2024-08-29 00:00:00+00:00,0,0,2,1
2024-09-08 00:00:00+00:00,1,1,9,1
2024-09-09 00:00:00+00:00,2,2,28,2
2024-09-10 00:00:00+00:00,3,1,38,2
2024-09-12 00:00:00+00:00,0,0,2,1
2024-09-15 00:00:00+00:00,1,1,0,0
2024-09-16 00:00:00+00:00,1,1,1,1
2024-09-17 00:00:00+00:00,2,2,2,1
2024-09-18 00:00:00+00:00,1,1,0,0
2024-09-19 00:00:00+00:00,2,1,0,0
2024-09-20 00:00:00+00:00,5,2,0,0
2024-09-22 00:00:00+00:00,3,2,0,0
2024-09-23 00:00:00+00:00,20,14,372,39
2024-09-24 00:00:00+00:00,2,2,110,13
2024-09-25 00:00:00+00:00,2,2,93,15
2024-09-26 00:00:00+00:00,0,0,41,6
2024-09-27 00:00:00+00:00,2,1,42,11
2024-09-28 00:00:00+00:00,1,1,6,2
2024-09-29 00:00:00+00:00,5,2,0,0
2024-09-30 00:00:00+00:00,0,0,7,2
2024-10-01 00:00:00+00:00,0,0,48,3
2024-10-02 00:00:00+00:00,0,0,12,4
2024-10-03 00:00:00+00:00,1,1,10,6
2024-10-04 00:00:00+00:00,1,1,0,0
2024-10-05 00:00:00+00:00,0,0,4,2
2024-10-06 00:00:00+00:00,0,0,12,2
2024-10-07 00:00:00+00:00,9,5,137,23
2024-10-08 00:00:00+00:00,3,1,7,5
2024-10-09 00:00:00+00:00,0,0,5,3
